Gene.names	p-value	log2
ACACA	0,252384922	1,243371273
LDHB	0,000192723	0,733838951
EHD4	0,064976552	0,390636389
IDH2	0,85088529	0,184489079
EEF2	9,09E-05	0,908639282
GDI2	0,474747946	0,06152696
TPP1	0,168189731	0,179314644
PLG	0,159106762	1,160230664
IDH1	0,294557586	0,224893321
APOE	0,964293545	0,189671195
SERPING1	0,000921422	0,840175343
CKB	0,213703183	0,260537485
GNAI2	0,331021494	0,226417305
KRT8	0,746680353	0,633482044
EPS8L2	0,519323121	0,013580655
IGHG2	0,949742716	0,46167178
IGKC	0,001422173	1,030003689
S100A9	0,434561553	0,093602425
SORD	0,666252215	0,101289766
MUC1	0,010019456	0,611697284
UBA1	0,204870396	0,143451663
KIF12	0,04139481	0,223150618
FGG	0,055859438	0,925581551
BROX	0,316724427	0,207085767
HBA1	0,024460219	0,304893498
APOD	0,119812877	0,196710061
ARSF	0,000606277	1,051847364
AKR1A1	0,574464897	0,056868224
NAPSA	0,000250032	0,941749123
PCK1	0,651171852	0,040434438
HADHA	0,993485995	0,178135799
ACO1	0,262418739	0,463311833
VPS4B	0,409606758	0,172825385
CBR1	0,588119072	0,17299444
ANXA7	0,69607045	0,139858789
CLU	0,003804609	1,135355609
APOA1	0,220505889	0,070585095
ACOX1	0,002639143	13,28771238
EPS8	0,123022025	0,397098478
MYO6	0,182669227	0,152851814
TPI1	0,067197287	0,417920171
YWHAE	0,711016844	0,202964873
ACE2	8,56E-05	1,527811443
SLC3A2	0,097860399	0,444650063
KRT78	0,004043144	0,587927383
MVP	0,729940252	0,300175145
PIGR	0,79482822	0,430523083
CPNE3	0,315726547	0,171714364
HPX	0,041811659	0,673897687
STXBP2	0,920600688	0,089448888
FN1	0,220426877	2,372954331
LMAN2	0,048644784	0,685683149
ATP6V1B1	0,129138666	0,829168478
CD14	0,002674228	1,286533649
SERPINA3	0,000127222	1,257863575
ACO2	0,264664432	0,420258009
DDC	0,330077825	0,314514905
ACPP	0,001568845	0,687251063
MTHFD1	0,106822024	0,16444436
VIL1	0,014425694	0,948446127
HSPA9	0,098294983	0,543390871
TUFM	0,198140372	0,216919245
GLUD1	0,580866745	0,014323438
PRDX6	0,293699675	0,29544704
TSG101	0,401217473	0,222215099
SCARB2	0,096647235	0,331318045
ACSL1	0,235622014	0,005308953
ALDH6A1	0,083451254	0,123722252
ACTC1	9,58E-05	0,830343161
CA2	0,05820952	0,547335935
SERPINB1	0,023136475	0,700660559
FAM151A	0,27216684	0,306667115
ACP2	0,275631498	0,256384627
MYO1D	0,030421725	0,297508481
FLOT1	0,016158198	0,846620702
KRT18	0,71236153	0,432809854
HSP90B1	0,490394265	0,306297559
AEBP1	0,112225436	13,28771238
VDAC2	0,861174889	0,018748218
HSPD1	0,512732588	0,280358426
SERPINB3	0,110833108	0,096563418
KRT16	0,482699439	0,119707012
COL6A1	0,093076781	0,61778969
ARHGEF10L	0,03640435	0,297970948
SLC9A3R1	0,024786114	0,915499559
CRYAB	0,979181471	0,092296191
GSTP1	0,578345526	0,018552716
IGLC3	0,000280221	1,271651136
SLC25A5	0,947372151	0,162867405
GGH	0,725868531	0,295111251
CNP	0,761664865	0,131365855
CAPN1	0,076624607	0,34314543
ALDH1A1	0,013946944	0,748625644
GPRC5B	0,029643123	0,568112594
PDIA3	0,100344725	0,298574721
VTN	0,065976087	0,5851528
AHCY	0,631978508	0,134569175
LTA4H	0,007841519	0,670495162
GAA	0,475603623	0,546488243
ALDH7A1	0,845072993	0,102235572
YWHAZ	0,620506269	0,113559227
ALDH4A1	0,943790738	0,291598959
ANXA3	0,083604182	0,420278452
P4HB	9,39E-05	1,341590682
HSPA5	0,386241434	0,010248577
NPEPPS	0,000712289	0,950541391
SERPINF1	0,204195983	0,14354413
GNA11	0,275004853	0,300590022
PGAM1	0,879058262	0,042199211
ACTR2	0,409303312	0,136103254
IGHM	0,625583217	0,079938748
GSTA2	0,818436628	0,059721792
SLC4A1	0,070971141	0,241462231
RPN1	0,53009331	0,099430844
FTCD	0,002782401	0,6334881
CFD	0,001451392	1,044822113
VASN	0,721000274	0,124217424
ALDOA	0,144654128	13,28771238
UQCRC2	0,038837828	0,530578385
SUSD2	0,911216439	0,033261845
TKT	0,443535873	0,141639938
PKP1	0,003207063	1,380693968
FRK	0,132815045	0,567421603
CRYL1	0,863027848	0,02197478
ANGPTL2	0,451212069	0,459316513
CANX	0,856709068	0,013830692
VCP	0,01846724	0,375837118
TMEM256	6,17E-07	1,592750525
S100A8	0,003575772	1,339025982
VAT1	0,01309821	0,557114394
NAMPT	0,007695216	0,549351082
CAPN5	0,047063972	0,393722126
PGD	0,049021182	0,615592472
PCK2	4,06E-05	1,081392727
IGLL5	0,059908107	0,679570371
KRT7	0,718220442	0,875516318
AOC1	0,60870829	0,516139879
PPP2R1A	5,62E-06	1,093021439
ACADVL	0,65785121	0,278444682
NNT	0,119905123	0,984970865
GNA13	0,117672896	0,454082294
GOT1	0,001332832	0,799693277
ANXA4	0,016516725	0,632974077
EIF4A1	0,097502222	0,358048412
TGM1	0,069184136	0,923398262
NDRG1	0,147731214	0,228054194
ERO1A	8,25E-05	1,77806406
FLOT2	0,404245811	0,546407104
ASAH1	0,10616972	0,535817607
A2M	0,322142101	0,54688542
PEBP1	0,93830685	0,044672141
CR1	2,11E-05	1,637764131
CAPG	0,040348133	0,38748389
AP2B1	0,984852839	0,22160478
SLC23A1	0,000248891	1,06077841
PYGB	6,76E-05	1,31101844
SERPINA4	0,454237993	0,015145585
CTSD	0,262769167	0,397951563
PPIA	0,002660057	0,986898907
GBP6	0,00239041	1,38260988
PHGDH	0,000198614	0,599784451
ATP6V0A1	0,057907616	0,694608712
CLIC1	0,783234836	0,134464977
HADHB	0,689358143	0,017288466
MYOF	0,883583407	0,030250199
GSTM3	0,821292601	0,311210758
SLC5A12	0,00078482	0,916728831
SPAG9	0,007266351	1,391741692
LAMP1	5,45E-06	0,829647227
NPHS2	0,46065651	0,391742408
FLNB	0,56606525	0,02744737
LRG1	0,221872574	0,910218825
AKR7A3	0,005258411	0,81646989
FBP1	0,000261647	1,269404016
CHMP5	0,187955595	0,092009782
MPO	0,002384865	0,936067499
THY1	0,713784086	0,025102969
ACTR3	0,021484991	0,485114278
LAP3	0,580805854	0,150268258
UPK1A	0,027455993	0,599053445
ATP1B1	0,829574063	0,011289405
PRDX1	0,040510494	0,632861925
ABHD14B	0,487427324	0,202154934
SLC4A4	0,059072869	1,064479904
MDH1	0,393895699	0,244620347
MXRA8	0,994667429	0,077310366
AQP1	0,197558154	0,194427894
GUSB	0,185948794	0,445205492
HSPG2	0,825116777	0,367791255
PROZ	0,083427858	0,645030941
STK24	0,499058857	0,134748955
ARHGAP18	0,04666473	0,874806193
GPD1	0,085202447	0,72033822
CAB39	0,016148257	0,682921649
LAMP2	0,059457422	0,392116503
RAB10	0,577581475	0,212527653
BBOX1	0,098033918	0,520684836
LRPPRC	0,704924993	0,120877567
CCT2	0,142735215	0,123364238
ENPP6	0,851875874	0,087506362
PGLS	0,194827391	0,51690072
SLC25A3	0,61000208	0,119300466
CCT3	0,018290833	0,381906643
NDUFS1	0,538160994	0,176693224
RBP4	0,029266966	1,090138526
VPS35	0,003393124	0,839644801
ATP6V0C	0,38959498	0,015330061
ALOX12	0,001096553	2,385574007
PBLD	0,158018993	0,318675997
AKR1C3	0,368608156	0,143811955
RDX	0,017604971	0,887601962
SLC44A4	0,501504469	0,19669587
PNP	0,124553141	0,632012712
TUBB	0,112804834	0,361187631
CFL1	0,030371636	0,660226715
DHRS2	0,019261628	0,959901391
PLAU	0,097758009	0,49748794
PROM2	0,00068153	1,166236845
CAP1	0,000841098	0,785075883
HSD17B4	0,05915184	0,574870087
ACAT1	0,056383846	0,601676591
PGLYRP2	0,887588971	0,10126181
KRT6B	0,249751602	0,229147012
PODXL	0,605701858	0,311937027
SFN	0,000153265	1,278529822
NCSTN	0,502906433	0,178002872
ATP6V1H	0,412464113	0,319391241
CLIC4	0,073333453	0,716192279
ATP6V0A4	0,252021376	0,824601879
SEMG2	0,963888404	3,285634048
RNPEP	0,000160225	0,787560722
MAN2A1	0,117280862	0,066276463
HLA-DRA	0,855109013	0,061693292
ALDH9A1	5,08E-05	1,01906786
ACSM2B	0,000613165	1,179047018
UQCRC1	0,682944554	0,10868546
SLC25A11	0,070029796	0,870429734
CETP	0,017348209	1,740695173
RAB7A	0,982601093	0,229498123
RHCG	0,054834892	0,522424969
CPVL	0,011246852	1,135697603
PTGR1	0,000169649	1,172232172
CTSG	0,008393439	0,952259635
ARF1	0,066063526	0,433889406
ATP5J2	0,829398343	0,131527036
TCP1	0,009904188	0,528393512
PTPRJ	0,20941728	0,454944589
F2	0,670127282	1,258169391
OGDH	0,740805268	0,332010127
SLC2A5	0,09040049	0,558222114
SLC36A2	0,001626058	0,783085984
AKR1B1	0,258652556	0,147858788
CEACAM5	0,705199795	0,084972162
PLCD1	0,799585375	0,051671422
APCS	0,104594344	0,649665446
ETFA	0,562062638	0,317994779
RAB11B	0,250504802	0,20676851
TLN1	0,138655549	0,444657853
NCKAP1	0,284295872	0,553130058
RPN2	0,34056389	0,522847483
MDH2	0,430757116	0,46789534
PHB2	0,13786306	0,557843565
LRRK2	0,112836666	0,147246155
ATP6V1A	0,002641966	0,735568728
AHSG	0,039602532	2,113889783
CCT4	0,253553989	0,122226084
ALDH2	0,238288601	0,130879753
ATP6V1B2	0,040811096	0,834359661
VDAC3	0,70730924	0,082711621
QSOX1	0,003062738	1,174554605
ATIC	0,02969296	0,592117969
C9	0,014320306	1,131970763
COPA	7,91E-06	1,796840383
SERPINC1	0,581650034	0,042807238
CD63	0,203628255	0,299485744
PKP3	0,000945858	1,677817326
CCT8	0,526242709	0,092173423
CD9	0,051897828	0,300603768
EEF1G	0,026927848	0,55395842
FH	0,002916289	0,971565588
SUCLG2	0,689718292	0,182466796
APOB	0,319658773	2,111089693
ATRN	0,102605356	0,150931099
COL18A1	0,354686033	0,358870678
KHK	0,338121787	0,373159864
CPN2	0,698543191	0,445597231
ITM2B	0,1499637	0,338137937
BAIAP2	0,111460301	13,28771238
CMBL	0,731369257	0,111702354
ACLY	0,008505518	0,278494981
GBE1	0,022730808	0,677384689
AGT	0,539271762	0,448883334
LMNA	0,683889065	0,399797401
LGALS3	0,320043541	0,315801089
HMGCS2	0,187192165	0,842054691
CS	0,338060951	0,222038717
FTL	0,048976639	0,637811949
SLC5A2	0,51768559	0,209681676
ITGAM	0,238873776	1,069485572
RNH1	1,06E-07	1,833181103
CPNE8	0,181064362	0,749324418
GPRC5A	0,586924461	0,08291315
EPHX2	0,138162256	0,974809701
CSTB	0,000933751	1,155672595
SELENBP1	0,102519983	0,703330842
VPS28	0,792997082	0,035784551
BLVRB	0,360957067	0,162674851
GNAI3	0,081190498	0,33001767
CAND1	0,014395601	0,36639573
BAX	0,416786037	13,28771238
PRCP	0,813026236	0,008774129
ARHGAP1	0,022987119	0,566589175
ACAA2	0,582914587	0,228520008
BPNT1	0,346737673	0,218687909
CALR	1,28E-05	1,433247982
MPP5	0,463829176	0,196577091
SDHA	0,667237962	0,316145544
ARPC2	0,993739093	0,1675719
HP	0,581692577	0,149179387
HSD11B2	0,166182767	0,145657284
ATP6V1E1	0,008790571	0,919359688
ACADM	0,039998268	0,588011755
VCL	0,448919139	0,418196428
IQGAP2	0,716367129	0,106864479
KPNB1	0,00896381	0,781218785
SRC	0,95705901	0,024038539
ADH5	0,098242397	0,309487639
GRHPR	0,509275759	0,203382712
SPRR3	0,015939824	1,172041073
PHB	0,172769966	0,730770114
DCXR	0,544493572	0,120263787
CCT6A	0,236162546	0,103292075
PTPRO	0,585503822	0,029315722
SLC5A10	0,003949904	1,248757674
IGFALS	0,000110069	1,428427962
AKR7A2	0,52148689	0,129497748
CHMP2A	0,53078215	0,156998555
CALB1	0,18956906	0,906153192
BAIAP2L1	0,329957459	0,679748497
GNB1	8,54E-07	2,060140022
PTPN13	0,02103273	1,309475603
BSG	0,055413641	0,745466804
CCT7	0,018971823	0,488749774
SLC13A2	0,050697832	0,423318585
HPGD	0,07377825	0,530194381
NSF	0,000669249	1,171382277
EPHX1	0,175297385	0,488315944
SMPDL3B	0,089493185	0,666034337
CABYR	0,15042393	13,28771238
NCCRP1	0,013096809	0,910165994
CFB	0,619628661	0,008447048
ERMP1	0,309422174	0,830085483
CHID1	0,158239615	0,583211693
CDC42	1,04E-05	2,580327591
GC	1,73E-05	1,577840986
SPTAN1	0,304757	0,649196933
HGD	0,126268228	0,6955584
CA1	0,138040063	0,009123611
HIST1H4A	0,721940043	0,060645099
AGRN	0,878162273	0,524297302
C2orf54	0,000136732	1,738037487
VPS37B	0,010444077	0,767355909
HSPA2	0,576188453	0,866650899
RAB2A	0,033724416	0,74196658
MXRA5	0,68576062	1,008398785
ARRDC1	0,130859979	0,619049116
FGL2	0,679462026	0,04856613
CLCA4	0,28513109	0,350139495
CORO1B	0,93486824	0,021031578
TTLL12	0,001243269	1,269692897
CPQ	0,69951095	0,116348212
GOT2	0,198060753	0,309465875
RAB14	0,14124874	0,36015891
RAP1A	0,231599416	0,658477438
DPYS	0,47719566	0,323099095
RAB5C	0,019613108	0,611337982
SLC6A19	0,001807403	0,964901611
NAPA	0,938681587	0,026927685
RHOA	2,74E-06	2,3550476
ARPC1A	0,104381321	0,302295773
GNAQ	0,118105037	0,475135087
ENPP3	0,093059494	1,114082763
COL15A1	0,558325787	0,409278931
PDHB	0,010239203	0,936219832
CLIC3	0,029671355	0,407268437
ANO6	0,128309626	0,539159201
COL6A3	0,416786109	13,28771238
AZGP1	0,987253181	0,063062185
RALB	0,497791934	0,238213409
COPB2	0,910048735	0,057253641
UGDH	0,896921448	0,324988627
PEF1	0,004942795	0,975671578
DDX3X	0,001945325	1,197790781
IGKV3-20	0,002779418	1,160800847
CRB3	0,214966633	0,554319553
TMPRSS11B	0,046880422	1,333510866
MVB12A	0,332057543	0,279658535
ZG16B	0,000153485	1,661366139
AKR1B10	0,000237733	1,228189294
CAPN2	9,91E-07	1,650889969
USP5	0,400078362	0,180634801
TTR	0,140036934	0,60782251
ECHS1	0,938998311	0,043846369
EPPK1	0,50782997	0,367247162
CD2AP	0,513166672	0,21695809
PSMD11	0,029324797	0,64069445
CEACAM1	0,497784682	0,060759221
FOLH1	0,76450046	0,167913883
SLC25A13	0,404335607	0,515511049
CPM	0,650374494	0,447133474
GATM	0,767271303	0,227956397
RAB1A	0,892623635	0,070736864
CRK	0,395524304	0,469611106
GALE	0,027389258	0,705069117
KIF5B	0,716485885	0,087169191
LBP	0,000455389	2,106401451
PFN1	0,000272617	1,192128758
RACK1	6,11E-05	1,322209479
PPP1CB	0,091980766	0,544226483
PCCA	0,603863234	0,616202293
TREH	0,644374864	0,011088225
DPP7	0,257583856	0,518612389
GAS6	0,27234652	0,54595862
PC	0,269568181	0,477735316
SERPINA7	0,779737974	0,306122163
GDPD3	0,080452863	0,738749293
B4GALT1	0,702317301	0,19953155
OTUB1	0,617724857	0,002538922
SLC47A1	0,026136088	0,627016633
CHMP4B	0,308909841	0,362987896
PSMD2	0,195830308	0,380619212
PSMD3	0,575178082	0,199137735
CRYM	0,097345366	0,780488467
ALPL	0,001920889	1,174160304
GNAI1	0,292835506	0,318203815
SULT2B1	0,000264024	1,505193014
APMAP	0,462441529	0,04099476
ITGAV	0,000169401	1,493201709
CCT5	0,00288682	1,049698739
C11orf54	0,317424026	0,29857869
STAT3	0,117805107	0,672417112
BCAM	0,230140443	0,501440879
PFKP	0,197223507	0,243271227
AHNAK	0,003999729	1,175821852
PLSCR1	0,851215202	0,101028512
ORM1	0,498704878	0,518922531
PRSS8	0,006119857	0,722917433
HSD17B10	0,433591924	0,003293605
CRYZ	0,001120792	0,858412462
GNS	0,000639368	1,47231618
CFH	0,908353665	0,220160662
CEACAM6	0,31061212	0,498441275
HSPA4	0,305787427	0,138161797
NAPRT	0,548921847	0,002884125
AOX1	0,00932722	1,099780239
DDAH2	0,002731812	1,29871493
CHMP1B	0,977698569	0,12794885
CHMP2B	0,272755646	0,286972862
ATP5C1	0,429793101	0,205022171
CTSC	0,686611309	0,143057665
PTER	0,630085637	0,25469137
RPS3	0,031912302	0,717607952
SEMG1	0,80366891	2,774936723
MAPK1	0,001931835	1,370019601
TUBA1C	0,028223952	0,625122389
ACSF2	0,012113629	0,869460106
HNRNPA2B1	0,448199136	0,027900953
SPTB	0,018043485	0,428255114
SLC22A12	0,010631323	1,556514668
AQP2	0,238948988	0,187935024
MT-CO2	0,728638631	0,149824222
SQOR	0,186448527	0,829616655
PSAT1	0,273612587	0,429474866
GSR	0,793968985	0,214499262
STAT1	0,144410724	0,614931189
SERPINB5	0,001504159	1,563437285
SLC5A1	0,881119946	0,135480209
CDC42BPB	0,681072595	0,046991493
PDXK	0,423773803	0,376770162
GPD2	0,346439056	0,580955925
BGN	0,465819497	0,132752776
PRKAR2A	0,832569454	0,220719621
FUCA1	0,758324909	0,2261626
ST13	0,501871812	0,126159228
PYGL	0,003835855	2,275784708
FKBP4	3,57E-06	1,525445956
SERPIND1	0,267097976	0,498777163
QPCT	0,004884488	0,926262901
CAPZB	0,005693489	0,993183607
PEPD	0,254348208	0,484038113
CSNK1G3	0,022167055	1,389899687
KRT17	0,726358528	0,984217254
ERLIN2	0,273710381	0,399792071
PKLR	0,608768611	0,12165838
DARS	0,000180777	1,139295042
PRDX2	0,271835293	0,26230062
ARHGDIA	0,177198554	0,611961287
GCN1	0,001123658	1,761793471
CYB5R3	0,763758151	0,217569334
TOLLIP	0,063474272	0,944131678
SERPINB6	0,928589356	0,144558877
ATP2A2	0,010466201	1,500056192
GK	0,329076609	0,496489343
YWHAG	0,267418498	0,34286937
KL	0,454765518	0,180652879
NARS	0,000104518	1,312790867
DDOST	0,693931425	0,037713794
TSPAN1	5,44E-24	13,28771238
IMMT	0,726024468	0,315389606
SPTBN1	0,858231324	0,090290281
AP1B1	0,013829225	0,745273674
BDH2	0,114214217	0,588802395
HRNR	0,091706582	0,4926633
COPB1	0,000314717	2,167088259
TST	0,05669967	0,903370181
CAPZA2	0,000917129	0,985545127
KLK3	0,157529194	0,643633384
PAH	0,167229947	0,177933888
SUCLG1	0,323677042	0,361709042
TMEM192	0,82187578	0,007276932
DLAT	0,100680238	1,204606852
B4GAT1	0,48963767	0,618759982
CYFIP1	0,033314661	0,512512717
MITD1	0,259243461	0,49221644
GSTK1	0,128934589	0,53647725
CPT2	0,746226765	0,231166095
FLG	0,467573172	0,873823089
AP1G1	0,006279948	0,995693797
ATP6AP2	0,667166157	0,250593525
CYFIP2	0,109833885	1,240711717
PCBP1	0,000642942	0,777423969
AP2A2	0,599283875	0,220857782
MTCH2	0,146794115	0,72101379
PRKCA	0,499375831	0,244929857
QARS	0,000521879	1,749084622
RAB27A	0,048616734	0,22923888
SERPINB4	0,00137084	1,189185232
CTSB	0,975967198	0,048763878
MCCC1	0,525334073	0,618069932
ACSL4	0,364823632	0,258161837
DSG3	0,000396021	1,4136277
NDUFA9	0,235719951	0,373824482
P2RX4	0,006702992	0,616080984
ATP5F1	0,755531761	0,370903507
MAL2	0,024726813	1,218616565
PRKDC	0,002371964	2,614559278
HNRNPU	5,19E-06	1,881498384
SLC17A5	0,01426303	0,739964177
SERPINF2	0,276801257	0,075477054
NIT2	0,351369686	0,331917358
STX3	0,457316326	0,246132432
PPA1	0,374403627	0,318106687
CACNA2D1	0,140996945	0,843728618
ESD	0,464297145	0,272435391
RAB21	0,39335112	0,412537757
DBI	0,317748986	0,01078891
COASY	0,037417356	0,747928454
HRG	0,035998347	0,944841251
APOA5	0,536120318	0,030190913
CTNND1	0,000203976	2,323918689
LGALS7	0,002726639	1,06628103
EIF3A	6,84E-05	1,656466008
UGT2B7	0,002508003	0,966722431
GFPT1	0,000158789	1,441065576
PSMD13	0,905971707	0,115669868
SLC25A1	0,685801759	0,276787487
VNN1	0,417120227	0,63423092
CAPNS1	0,45009079	0,230751685
NID1	0,002219828	2,037509285
PDHA1	0,479008426	0,164710449
SECTM1	0,428138453	0,306976107
UPK3A	0,849933814	0,151787506
TM7SF3	0,086454461	0,487254451
TTC38	0,623577531	0,096385646
CFI	0,02235691	0,421636022
EHHADH	3,22E-06	2,413781989
RAB6A	0,461905229	0,417512895
MELTF	0,175179013	0,701890554
WASL	0,903462261	0,502828263
ALDH8A1	0,499460029	0,181610609
FCGBP	0,067543417	1,757060877
SLC25A6	0,311893193	0,389381289
ANK1	0,026411603	0,112293742
RPSA	0,001419197	1,093275625
ARF6	0,122890421	0,560113732
PCCB	0,069341522	1,373543253
CMPK1	0,002086598	0,890696065
SNX9	0,070060703	0,569452189
MYH10	0,312598721	0,326121797
CHMP1A	0,489104495	0,409285108
ATP6V1D	0,101809898	0,837544211
VPS37D	0,340132045	0,252890687
HIST1H2BM	0,056553555	0,553930007
SAMM50	6,13E-05	2,46291083
YES1	0,53878139	0,166643609
HNRNPM	0,182946397	0,459157582
TWF1	0,460322293	0,089052063
DOPEY2	0,014899351	0,183529756
RAN	0,000678969	1,421612734
MAOB	0,664171615	0,021017129
COPG1	0,015479546	0,976431938
PACSIN2	0,078065091	0,586416197
BASP1	0,450406097	0,271857752
GALC	0,102699554	0,602238673
CTSA	0,753927126	0,085631081
SLC26A4	0,114090356	1,812467955
HPD	0,265627094	0,46976936
RRAS2	0,679039167	0,017140229
CC2D1A	0,046013797	1,035705607
SLC22A6	0,846550873	0,046479981
AHCYL1	0,0897869	0,528381856
ACTR1A	0,274281208	0,335045253
RPLP0	0,000906052	1,391635995
GLUL	0,104756093	0,816127175
IGHG3	2,85E-05	2,607196285
ATP5O	0,060156038	0,313274689
ANXA8L1	0,032508812	0,518886389
COMT	2,22E-06	3,030742627
AIFM1	0,143946904	0,633940096
DBNL	0,050922818	0,467265396
FTH1	0,011742222	1,290773013
ITGB1	0,001212953	1,20492109
RAB3D	0,583109046	0,180790998
PTBP1	0,004151182	0,545469469
B2M	0,066064571	0,537033618
ULK3	0,224348408	0,15458995
DUOX2	0,219328213	0,214917493
NDUFS2	0,139369387	0,496891916
PATJ	0,742347261	0,371284776
PGLYRP1	0,006806028	1,236270381
PPIB	0,000665391	1,303192678
SIAE	0,636221164	0,337374377
PRKCD	9,03E-07	2,262907675
HADH	0,180576472	0,665819259
CTNNA1	0,000328221	2,729016226
ATP5H	0,833000668	0,543730028
SGSH	0,020925975	1,966506581
PSMC5	0,160463413	0,542341467
MAN2B1	0,329266663	0,362530222
ARSA	0,889259573	0,451200153
PDCD10	0,373194769	0,426882608
ALDH3B1	0,159847194	0,612864643
CDHR5	0,002998978	0,877890877
ATP6V0D1	0,264604342	0,60740281
CTNNB1	2,57E-05	2,641520954
TAOK1	0,255755939	0,601192934
PACSIN3	0,697614145	0,112650907
ANXA9	0,139360995	0,611627862
TMPRSS2	0,002591288	0,928772438
ACTN1	0,11539239	0,798713334
PLPP1	0,810023858	0,286392949
LMAN1	0,556826754	0,121096594
AK4	0,092377139	0,980627615
CYBB	0,151716671	0,902553801
NEDD4L	0,018683935	0,583109922
GIPC2	0,444918749	0,346180574
CTSH	0,071640811	0,958930575
CD59	1,29E-06	2,164683998
PDIA6	0,560314559	0,258533215
CST3	0,119808232	1,534899721
AARS	0,02052051	0,518851998
TMBIM1	0,000615291	1,096102522
ASL	0,203381691	0,694530618
PTGDS	0,001268144	1,887459522
SERPINB13	0,002144831	1,735178407
SRI	0,983831878	0,342349818
RAB8A	0,379615544	0,430044624
POR	0,018765951	1,325500501
PSMD5	0,065890213	0,604092846
TRIM16	0,000181909	2,22013905
BHMT2	0,000325356	1,554039686
METTL7A	2,20E-05	1,571457848
CKAP4	0,15835507	1,26216087
VPS36	0,793871644	0,061347187
AMY2B	0,754704109	0,069783177
ARPC1B	0,000892955	1,384562872
LCP1	0,12602872	1,436359429
OXSR1	0,037551694	0,415097438
TUBA4A	0,010824268	0,579459094
EIF3L	0,270979822	0,798387178
GDI1	0,644364454	0,082322228
RPS4X	0,002409639	1,348742678
HEXB	0,009238191	2,019685871
KRT72	0,090085101	0,524648
PSMC3	0,613879462	0,156240371
CEL	0,014352983	2,258254632
ALDH3A2	1,56E-05	1,652562984
PSMC6	0,200856491	0,391315117
CEACAM7	0,564181399	0,268653676
