GENE NAMES	Fold change	p-value	SIGN	LOGP	RANK
SLC12A3	-1.227265354	0.307819285	-1	0.511704175	-0.511704175
HBB	-1.016496979	0.64253872	-1	0.192100696	-0.192100696
JUP	-1.065308709	0.58526661	-1	0.232646252	-0.232646252
FASN	-1.369298079	0.011389809	-1	1.94348357	-1.94348357
HSPB1	2.57706057	1.38E-08	1	7.859523	7.859523
VDAC1	1.206571229	0.012516482	1	1.90251773	1.90251773
PROM1	1.394037562	0.483895636	1	0.315248294	0.315248294
IGHA1	-2.853856066	0.000106124	-1	3.974188119	-3.974188119
CAPN7	-1.126786313	0.106419636	-1	0.972978232	-0.972978232
ACE	-1.20245028	0.477782823	-1	0.320769468	-0.320769468
"=""STOM"	1.465987727	0.090782362	1	1.041998521	1.041998521
ACY1	1.369628656	0.016250598	1	1.789130648	1.789130648
"=""GGT1"	1.161979686	0.34110849	1	0.467107471	0.467107471
CP	-12.56922998	2.84E-05	-1	4.546799362	-4.546799362
MAN1A1	-1.36949093	0.017298522	-1	1.761991008	-1.761991008
NAGLU	-1.844031346	0.01115473	-1	1.952540952	-1.952540952
ANXA4	2.087283459	1.23E-05	1	4.909587116	4.909587116
AMBP	-1.070522413	0.130300577	-1	0.885053661	-0.885053661
WDR1	-1.536733046	0.000263042	-1	3.579975441	-3.579975441
"=""EVPL"	1.129817699	0.350537321	1	0.455265736	0.455265736
MYO1C	-1.31991661	0.005448131	-1	2.263752488	-2.263752488
MASP2	-4.219012066	8.79E-09	-1	8.055841104	-8.055841104
BHMT	-1.432674817	0.051171727	-1	1.290969927	-1.290969927
TF	-4.724492556	0.000395446	-1	3.402912821	-3.402912821
GPRC5C	-1.051151774	0.264251691	-1	0.577982226	-0.577982226
"=""UBB"	1.128585215	0.309456985	1	0.50939971	0.50939971
AMY2A	-3.507546423	0.001429927	-1	2.844685982	-2.844685982
CRNN	1.003530524	0.481692542	1	0.317230078	0.317230078
FGA	4.782153951	0.614998258	1	0.211126114	0.211126114
"=""GPI"	1.154246758	0.087219151	1	1.059388144	1.059388144
VPS4A	1.110015106	0.486282212	1	0.313111616	0.313111616
ANXA5	1.764661986	0.00102259	1	2.990298394	2.990298394
TKFC	1.066284624	0.643829755	1	0.191228956	0.191228956
GLB1	-1.280994716	0.095882997	-1	1.018258399	-1.018258399
"=""ALDH1L1"	-1.123801254	0.114355484	-1	0.941743005	-0.941743005
GSN	-1.550587829	0.000924993	-1	3.03386138	-3.03386138
IST1	1.420778098	0.046959636	1	1.328275281	1.328275281
ITIH4	-1.326815666	0.895895239	-1	0.047742771	-0.047742771
"=""HSP90AB1"	-1.116017114	0.1873561	-1	0.727332162	-0.727332162
PFKL	1.090618863	0.389436241	1	0.409563636	0.409563636
"=""KRT14"	1.817826	0.007897679	1	2.102500534	2.102500534
FGB	12.87698537	0.532138167	1	0.27397559	0.27397559
KNG1	-2.586325776	0.00040965	-1	3.387586559	-3.387586559
"=""LDHB"	1.325524031	0.010604238	1	1.974520545	1.974520545
EHD4	-1.277099614	0.118993051	-1	0.924478399	-0.924478399
IDH2	1.17090934	0.181226974	1	0.74177716	0.74177716
EEF2	-1.142803199	0.31884868	-1	0.496415377	-0.496415377
GDI2	1.0043395	0.554419466	1	0.256161529	0.256161529
TPP1	1.137833435	0.360937064	1	0.442568519	0.442568519
"=""PLG"	-6.733367226	0.000384814	-1	3.4147496	-3.4147496
IDH1	-1.264829974	0.29744098	-1	0.526599196	-0.526599196
APOE	-1.100975421	0.887348647	-1	0.051905709	-0.051905709
SERPING1	-1.148464745	0.202750353	-1	0.693038382	-0.693038382
CKB	-2.034881926	0.061341663	-1	1.212244456	-1.212244456
"=""GNAI2"	-1.108337967	0.623698952	-1	0.205024986	-0.205024986
KRT8	1.439781411	0.549859803	1	0.259748028	0.259748028
EPS8L2	-1.675026585	0.000535475	-1	3.2712608	-3.2712608
IGHG2	-4.00436305	0.001529155	-1	2.815548442	-2.815548442
IGKC	1.450688836	0.051032923	1	1.292149553	1.292149553
S100A9	1.586417068	0.030070262	1	1.521862786	1.521862786
SORD	-1.563046973	0.068898323	-1	1.16179135	-1.16179135
MUC1	1.384397651	0.014405183	1	1.841481213	1.841481213
UBA1	-1.026226771	0.652646902	-1	0.185321719	-0.185321719
KIF12	1.02902758	0.468038715	1	0.329718222	0.329718222
FGG	4.551826371	0.077214782	1	1.112299552	1.112299552
SLC3A1	-1.923977671	0.000101057	-1	3.995432781	-3.995432781
BROX	1.085647673	0.317887422	1	0.497726656	0.497726656
HBA1	1.141323914	0.816097536	1	0.088257933	0.088257933
APOD	-1.057018691	0.992966682	-1	0.003065324	-0.003065324
ARSF	-1.023218165	0.866529195	-1	0.062216801	-0.062216801
AKR1A1	1.063783598	0.394067145	1	0.404429773	0.404429773
ACPP	-12.93921812	8.78E-13	-1	12.05631063	-12.05631063
GNB2	-1.482526195	0.046019277	-1	1.337060209	-1.337060209
NAPSA	-1.330705787	0.124535734	-1	0.904706014	-0.904706014
PCK1	-1.235656092	0.105821642	-1	0.975425505	-0.975425505
HADHA	1.031143441	0.862918078	1	0.064030433	0.064030433
ACO1	-1.028383753	0.392179123	-1	0.406515529	-0.406515529
VPS4B	-1.031903146	0.624396282	-1	0.204539692	-0.204539692
CBR1	1.309485661	0.001658953	1	2.780165911	2.780165911
ANXA7	1.202178251	0.293749773	1	0.53202246	0.53202246
CLU	1.138690032	0.239069214	1	0.621476347	0.621476347
APOA1	1.182123156	0.659297027	1	0.180918883	0.180918883
SHMT1	-1.147783037	0.419658026	-1	0.377104466	-0.377104466
EPS8	-2.159587094	0.000829949	-1	3.080948333	-3.080948333
MYO6	-2.056582882	2.80E-06	-1	5.552990197	-5.552990197
TPI1	-1.158141171	0.501294917	-1	0.299906699	-0.299906699
YWHAE	1.72255861	1.63E-06	1	5.787823062	5.787823062
ACE2	-1.112232718	0.006573519	-1	2.182202082	-2.182202082
SLC3A2	1.040601357	0.292621137	1	0.533694306	0.533694306
KRT78	1.321587173	0.394058699	1	0.404439081	0.404439081
MVP	1.326361349	0.184257815	1	0.734574082	0.734574082
PIGR	-2.861723299	0.003177306	-1	2.497940982	-2.497940982
CPNE3	-1.18832214	0.138001173	-1	0.860117223	-0.860117223
HPX	-2.885945675	3.28E-05	-1	4.48470312	-4.48470312
STXBP2	-1.373181707	0.013834105	-1	1.859048928	-1.859048928
FN1	-1.027883605	0.41705257	-1	0.379809198	-0.379809198
LMAN2	-1.574171998	0.190041554	-1	0.721151427	-0.721151427
ATP6V1B1	1.094152421	0.954456303	1	0.02024395	0.02024395
CD14	1.168686738	0.11503419	1	0.939173061	0.939173061
SERPINA3	-1.252949291	0.116862532	-1	0.932324708	-0.932324708
ACO2	-1.197684311	0.133566137	-1	0.874303634	-0.874303634
DDC	1.167898882	0.649681031	1	0.187299814	0.187299814
PLEC	-1.140077409	0.647849535	-1	0.188525848	-0.188525848
MTHFD1	-1.092973382	0.171961285	-1	0.764569319	-0.764569319
VIL1	-1.580439595	0.017307916	-1	1.761755225	-1.761755225
HSPA9	1.072715817	0.614542217	1	0.211448277	0.211448277
TUFM	1.289162638	0.210472836	1	0.676803946	0.676803946
"=""GLUD1"	-1.081669421	0.68292833	-1	0.165624871	-0.165624871
PRDX6	1.115821169	0.254001272	1	0.595164108	0.595164108
TSG101	-1.069987855	0.513030312	-1	0.289856974	-0.289856974
A2ML1	-1.003164394	0.768781125	-1	0.114197288	-0.114197288
SCARB2	-1.062668877	0.678906675	-1	0.168189922	-0.168189922
BAIAP2	-1.352263998	0.030377018	-1	1.517454856	-1.517454856
GANAB	-1.030602023	0.448928934	-1	0.347822403	-0.347822403
ALDH6A1	-1.291423209	0.027784992	-1	1.556189725	-1.556189725
"=""ACTC1"	1.409352098	0.007074203	1	2.150322471	2.150322471
CA2	1.251278489	0.063692831	1	1.195909451	1.195909451
SERPINB1	1.062970471	0.869396057	1	0.060782334	0.060782334
FAM151A	-1.069776738	0.491732515	-1	0.308271073	-0.308271073
ACP2	-1.56375536	0.009181225	-1	2.037099369	-2.037099369
MYO1D	-1.943345487	5.08E-05	-1	4.294096396	-4.294096396
FLOT1	1.045452697	0.796680768	1	0.098715667	0.098715667
KRT18	1.344057775	0.65531493	1	0.183549937	0.183549937
"=""HSP90B1"	1.209297227	0.466199259	1	0.331428421	0.331428421
ALDOA	-1.284915964	0.083836112	-1	1.076568869	-1.076568869
VDAC2	1.284456848	0.007959032	1	2.099139761	2.099139761
HSPD1	-1.099952944	0.348693789	-1	0.457555788	-0.457555788
SERPINB3	1.443637777	0.292418187	1	0.53399562	0.53399562
KRT16	2.038572485	0.00794096	1	2.10012697	2.10012697
COL6A1	-1.430121118	0.108098503	-1	0.966180319	-0.966180319
"=""ARHGEF10L"	-1.011285141	0.75802788	-1	0.120314821	-0.120314821
SLC9A3R1	-1.018714449	0.984497865	-1	0.006785221	-0.006785221
CRYAB	2.211365297	2.44E-05	1	4.613433413	4.613433413
PLS3	-1.267866714	0.038534988	-1	1.414144777	-1.414144777
GSTP1	1.346734445	0.05160146	1	1.287338012	1.287338012
"=""IGLC3"	1.22457892	0.110106529	1	0.958186927	0.958186927
SLC25A5	1.699059372	0.000985765	1	3.006226737	3.006226737
GGH	1.649232758	0.000443895	1	3.352719999	3.352719999
CNP	-1.207296976	0.370741192	-1	0.430929158	-0.430929158
CAPN1	-1.100814061	0.381889364	-1	0.418062437	-0.418062437
ALDH1A1	-1.260196234	0.135209571	-1	0.868992565	-0.868992565
GPRC5B	1.087314999	0.911991894	1	0.040009022	0.040009022
PDIA3	1.26310006	0.228670289	1	0.640790259	0.640790259
VTN	-1.358288339	0.14609947	-1	0.835351359	-0.835351359
LDHA	-1.214389716	0.208178553	-1	0.681564015	-0.681564015
LTA4H	-1.417831398	0.017084786	-1	1.767390468	-1.767390468
GAA	-4.270703825	0.001655558	-1	2.781055518	-2.781055518
GNAS	1.070552544	0.246487482	1	0.608205132	0.608205132
FAM129B	-1.059109355	0.445392103	-1	0.351257488	-0.351257488
YWHAZ	1.465339542	0.002921319	1	2.534420991	2.534420991
ALDH4A1	-1.212403457	0.074868825	-1	1.125698982	-1.125698982
ANXA3	2.959857511	2.81E-05	1	4.551460006	4.551460006
P4HB	1.037440144	0.825948824	1	0.083046861	0.083046861
AHCY	-1.189401908	0.30983535	-1	0.508869034	-0.508869034
HSPA5	-1.024409788	0.720898	-1	0.142126179	-0.142126179
SLC44A2	-1.134820027	0.127950996	-1	0.892956328	-0.892956328
"=""NPEPPS"	-1.185617994	0.089665336	-1	1.047375418	-1.047375418
SERPINF1	-1.119161054	0.243021574	-1	0.614355171	-0.614355171
"=""GNA11"	1.073403486	0.369653703	1	0.432204939	0.432204939
PGAM1	1.549542499	0.001182023	1	2.927374186	2.927374186
ACTR2	1.240851642	0.030922061	1	1.509731566	1.509731566
IGHM	-1.15768811	0.361534961	-1	0.441849699	-0.441849699
GSTA2	1.854748097	0.008104054	1	2.091297667	2.091297667
SLC4A1	1.339515988	0.55494531	1	0.255749815	0.255749815
RPN1	1.635773667	0.00061903	1	3.208288118	3.208288118
FTCD	-1.230269445	0.07198622	-1	1.142750629	-1.142750629
CFD	-1.941587114	0.001173647	-1	2.930462586	-2.930462586
VASN	-2.09049852	2.55E-05	-1	4.594257037	-4.594257037
MYH14	1.044094092	0.217240761	1	0.663058684	0.663058684
UQCRC2	1.410402593	0.014153247	1	1.849143914	1.849143914
SUSD2	-1.111522524	0.415966783	-1	0.380941348	-0.380941348
TKT	1.134707487	0.234288057	1	0.63024985	0.63024985
PKP1	1.139376906	0.833237156	1	0.079231372	0.079231372
FRK	1.13256155	0.836704629	1	0.077427828	0.077427828
CRYL1	1.121728005	0.321785922	1	0.492432959	0.492432959
DNM2	1.011540341	0.867207976	1	0.061876736	0.061876736
CANX	1.463547382	0.00870932	1	2.060015745	2.060015745
VCP	-1.413917133	0.005483157	-1	2.260969342	-2.260969342
TMEM256	-1.480459272	0.024673069	-1	1.607776825	-1.607776825
S100A8	-1.454805516	0.664569184	-1	0.177459801	-0.177459801
VAT1	1.253943045	0.016824176	1	1.774066196	1.774066196
NAMPT	1.115742782	0.714954692	1	0.14572148	0.14572148
CAPN5	-1.583394722	0.000698014	-1	3.156135881	-3.156135881
PGD	-1.013181673	0.7886432	-1	0.103119437	-0.103119437
PCK2	-1.454895036	0.001735555	-1	2.760561711	-2.760561711
"=""IGLL5"	-1.579085056	0.186005437	-1	0.730474361	-0.730474361
KRT7	1.974024837	0.033790203	1	1.471209202	1.471209202
AOC1	-6.481123427	8.07E-06	-1	5.09292669	-5.09292669
VTA1	1.287528539	0.031448284	1	1.502403042	1.502403042
PPP2R1A	-1.462230788	0.004240914	-1	2.372540567	-2.372540567
ACADVL	1.24492069	0.209762805	1	0.678271519	0.678271519
NNT	1.245687426	0.309842558	1	0.50885893	0.50885893
GNA13	1.679435896	0.002489036	1	2.603968897	2.603968897
GOT1	1.003555651	0.651382099	1	0.18616418	0.18616418
PCYOX1	-1.205089959	0.728695093	-1	0.137454155	-0.137454155
EIF4A1	1.549990819	0.045710719	1	1.339981944	1.339981944
TGM1	1.444253119	0.352068208	1	0.45337319	0.45337319
NDRG1	1.123607512	0.199209071	1	0.70069089	0.70069089
ERO1A	1.07085536	0.930127454	1	0.031457537	0.031457537
FLOT2	1.086389827	0.940998587	1	0.026411029	0.026411029
ASAH1	1.339104253	0.020949999	1	1.678815988	1.678815988
A2M	1.665839327	0.956613284	1	0.019263592	0.019263592
A1BG	-11.51350941	2.48E-05	-1	4.605060949	-4.605060949
PEBP1	1.084598219	0.407591982	1	0.389774368	0.389774368
"=""CR1"	-5.744547957	1.42E-08	-1	7.848523849	-7.848523849
CAPG	1.165891652	0.076081315	1	1.118721991	1.118721991
EPS8L1	-1.3615733	0.038274539	-1	1.417090034	-1.417090034
SLC23A1	-1.020353812	0.066345333	-1	1.178189619	-1.178189619
PYGB	-1.408804234	0.015634821	-1	1.805907096	-1.805907096
SERPINA4	-1.035352231	0.30040856	-1	0.522287696	-0.522287696
CTSD	1.05507532	0.306892826	1	0.513013264	0.513013264
"=""PPIA"	-2.070077507	0.00235168	-1	2.628621774	-2.628621774
GBP6	1.25315078	0.651273628	1	0.186236507	0.186236507
PHGDH	-1.2787616	0.012407569	-1	1.906313294	-1.906313294
ATP6V0A1	1.110095637	0.579245876	1	0.23713705	0.23713705
CLIC1	-1.028645004	0.485198899	-1	0.314080193	-0.314080193
HADHB	-1.113014448	0.615262925	-1	0.210939254	-0.210939254
MYOF	-1.518334134	0.016152839	-1	1.791751124	-1.791751124
GSTM3	-1.073060263	0.564868422	-1	0.248052703	-0.248052703
SLC5A12	-1.082446278	0.457100922	-1	0.339987903	-0.339987903
"=""SPAG9"	-1.155753325	0.402287557	-1	0.3954634	-0.3954634
LAMP1	1.37729626	0.018416134	1	1.734801523	1.734801523
NPHS2	-1.467580301	0.008408089	-1	2.075302703	-2.075302703
UEVLD	1.130738817	0.827438712	1	0.082264164	0.082264164
FLNB	-1.31613683	0.333656749	-1	0.476700086	-0.476700086
LRG1	-4.502703143	0.000117971	-1	3.928224868	-3.928224868
"=""AKR7A3"	1.6439183	0.005242816	1	2.280435344	2.280435344
FBP1	1.701133387	0.100518856	1	0.997752461	0.997752461
CHMP5	1.464462812	0.06179936	1	1.209016024	1.209016024
MPO	1.282745263	0.653630038	1	0.184667997	0.184667997
THY1	1.33394942	0.004028916	1	2.394811796	2.394811796
"=""ACTR3"	-1.232724211	0.18238189	-1	0.739018287	-0.739018287
LAP3	-1.339325953	0.164435913	-1	0.784003325	-0.784003325
UPK1A	-1.851849404	0.000548344	-1	3.26094702	-3.26094702
ATP1B1	-1.138461739	0.079982233	-1	1.097006476	-1.097006476
PRDX1	-1.040440646	0.719657716	-1	0.142874014	-0.142874014
ABHD14B	1.154642733	0.145596631	1	0.836848674	0.836848674
SLC4A4	1.996222575	0.851779096	1	0.069673022	0.069673022
MDH1	-1.20856421	0.141346327	-1	0.849715471	-0.849715471
MXRA8	-1.578743795	0.02210202	-1	1.655568024	-1.655568024
AQP1	1.030913625	0.591938591	1	0.227723346	0.227723346
GUSB	-1.139613596	0.663911338	-1	0.177889914	-0.177889914
HSPG2	-1.465070146	0.168569744	-1	0.773220374	-0.773220374
PROZ	-1.437961325	0.062083469	-1	1.207024024	-1.207024024
STK24	-1.425940712	0.058768368	-1	1.23085637	-1.23085637
CRYZ	1.051223212	0.329891015	1	0.481629513	0.481629513
GPD1	1.122263697	0.628131823	1	0.201949203	0.201949203
CAB39	1.480968701	0.016282374	1	1.788282268	1.788282268
LAMP2	1.013367535	0.616220334	1	0.210263975	0.210263975
RAB10	1.564329599	0.001456707	1	2.836627706	2.836627706
BBOX1	1.176034741	0.321787212	1	0.492431219	0.492431219
LRPPRC	1.257862491	0.967376057	1	0.014404666	0.014404666
CCT2	-1.214163424	0.203444603	-1	0.691553827	-0.691553827
ENPP6	-1.151643448	0.326606312	-1	0.485975426	-0.485975426
PGLS	-1.097115196	0.655324858	-1	0.183543358	-0.183543358
CYFIP1	-1.641286601	0.004657767	-1	2.331822286	-2.331822286
SLC25A3	1.029100127	0.673173073	1	0.171873264	0.171873264
CCT3	-1.224450669	0.08278484	-1	1.082049184	-1.082049184
NDUFS1	-1.469272181	0.097183754	-1	1.012406328	-1.012406328
RBP4	-2.275369269	0.009248858	-1	2.033911882	-2.033911882
VPS35	-1.239422888	0.209528164	-1	0.678757593	-0.678757593
ATP6V0C	-1.339262966	0.061565083	-1	1.21066553	-1.21066553
ALOX12	-1.226110048	0.825622198	-1	0.083218639	-0.083218639
PBLD	1.316243097	0.118220045	1	0.92730888	0.92730888
AKR1C3	1.023854293	0.390015007	1	0.408918682	0.408918682
RDX	-1.534589069	0.013057499	-1	1.884140001	-1.884140001
SLC44A4	-1.458225449	0.027749541	-1	1.556744202	-1.556744202
PNP	1.320743131	0.077655312	1	1.10982883	1.10982883
TUBB	1.125388154	0.173707994	1	0.760180194	0.760180194
CFL1	-1.747906224	0.006645209	-1	2.177491329	-2.177491329
DHRS2	1.389559456	0.352153711	1	0.453267731	0.453267731
PLAU	-1.950889842	0.031751325	-1	1.498238149	-1.498238149
PROM2	1.2080224	0.681006233	1	0.166848913	0.166848913
"=""CAP1"	-1.59297563	0.001411394	-1	2.850351663	-2.850351663
HSD17B4	1.083060049	0.437992149	1	0.358533674	0.358533674
ACAT1	-1.035070964	0.674293631	-1	0.171150942	-0.171150942
PGLYRP2	-4.933767854	0.00296557	-1	2.527891829	-2.527891829
KRT6B	1.951542281	0.036456369	1	1.438226589	1.438226589
PODXL	-2.057240663	0.001505877	-1	2.822210506	-2.822210506
SFN	1.371465286	0.873813893	1	0.058581055	0.058581055
NCSTN	-1.024352042	0.952050636	-1	0.021339953	-0.021339953
ATP6V1H	-1.453732796	0.038940294	-1	1.409600774	-1.409600774
CLIC4	-1.060117915	0.614142006	-1	0.211731196	-0.211731196
ATP6V0A4	-1.344603374	0.22201701	-1	0.65361375	-0.65361375
SEMG2	-10000	0.000149475	-1	3.825432883	-3.825432883
RNPEP	-1.581157677	0.000454005	-1	3.342939405	-3.342939405
MAN2A1	-2.618922826	0.000847766	-1	3.071723943	-3.071723943
HLA-DRA	1.042191578	0.37428385	1	0.426798912	0.426798912
ALDH9A1	-2.636707312	6.96E-07	-1	6.15759968	-6.15759968
ACSM2B	-1.767599338	0.003589488	-1	2.444967551	-2.444967551
UQCRC1	1.078616691	0.306346024	1	0.513787751	0.513787751
SLC25A11	2.422300246	0.00038818	1	3.410966661	3.410966661
CETP	-1.409230473	0.020851618	-1	1.680860246	-1.680860246
RAB7A	1.28882495	0.020908003	1	1.679687453	1.679687453
RHCG	1.211879511	0.071933673	1	1.143067765	1.143067765
CPVL	-1.290051345	0.160611469	-1	0.794223445	-0.794223445
PTGR1	1.485973425	0.011291314	1	1.947255496	1.947255496
CTSG	3.105510126	0.051976195	1	1.284195514	1.284195514
ARF1	-1.253244457	0.655692285	-1	0.183299926	-0.183299926
UGP2	-1.055635102	0.893962154	-1	0.048680867	-0.048680867
TCP1	-1.848655991	9.17E-05	-1	4.037615014	-4.037615014
PTPRJ	-1.379879924	0.032327755	-1	1.490424448	-1.490424448
F2	-6.318309084	0.011320313	-1	1.946141564	-1.946141564
OGDH	-1.045016713	0.905994638	-1	0.042874373	-0.042874373
SLC2A5	1.032049527	0.702494626	1	0.153356994	0.153356994
SLC36A2	-1.377578585	0.07529872	-1	1.123212407	-1.123212407
AKR1B1	-1.269889876	0.756007712	-1	0.121473774	-0.121473774
CEACAM5	1.077506601	0.322906283	1	0.490923505	0.490923505
PLCD1	-1.013428965	0.738292582	-1	0.131771495	-0.131771495
APCS	1.590826912	0.012040693	1	1.919348506	1.919348506
ETFA	1.428811529	0.005293038	1	2.276294961	2.276294961
"=""RAB11B"	1.659354706	0.00089102	1	3.050112609	3.050112609
TLN1	-1.336544571	0.170118134	-1	0.769249391	-0.769249391
SYPL1	-1.773110318	0.068352198	-1	1.165247514	-1.165247514
NCKAP1	-1.913818699	0.078322364	-1	1.106114214	-1.106114214
RPN2	1.906247304	0.001498824	1	2.824249399	2.824249399
MDH2	1.588504088	0.004207567	1	2.375968993	2.375968993
PHB2	1.999904615	0.000443691	1	3.35291913	3.35291913
LRRK2	-1.949745782	0.027405467	-1	1.562162789	-1.562162789
SCIN	-2.566456315	2.05E-05	-1	4.687730792	-4.687730792
AHSG	-1.011956547	0.425514052	-1	0.371086093	-0.371086093
CCT4	-1.260817985	0.021698671	-1	1.663566858	-1.663566858
ALDH2	-1.204139094	0.100613698	-1	0.99734289	-0.99734289
ATP6V1B2	-1.260620433	0.34533917	-1	0.46175416	-0.46175416
VDAC3	-1.098801887	0.501427347	-1	0.299791984	-0.299791984
QSOX1	-1.414933059	0.472974114	-1	0.325162628	-0.325162628
ATIC	-1.248038741	0.272559898	-1	0.564538042	-0.564538042
C9	1.057424818	0.938775609	1	0.027438203	0.027438203
COPA	-1.80602117	0.046133578	-1	1.335982862	-1.335982862
SERPINC1	-1.355136244	0.105244705	-1	0.977799746	-0.977799746
CD63	1.083714128	0.383395591	1	0.416352885	0.416352885
PKP3	1.186123691	0.696548582	1	0.157048587	0.157048587
CCT8	-1.345668963	0.119624061	-1	0.922181457	-0.922181457
CD9	-1.482105713	0.002385252	-1	2.622465744	-2.622465744
EEF1G	1.109413819	0.740476624	1	0.130488647	0.130488647
SPP1	1.513536094	0.098126344	1	1.008214383	1.008214383
FH	1.319343429	0.043940759	1	1.357132445	1.357132445
SUCLG2	1.025998297	0.806444095	1	0.093425734	0.093425734
APOB	4.671364528	0.195219672	1	0.709476422	0.709476422
MPST	-1.141084648	0.455712347	-1	0.341309205	-0.341309205
COL18A1	-1.503047869	0.03866311	-1	1.412703216	-1.412703216
KHK	1.429315034	0.04084604	1	1.388850043	1.388850043
EFEMP1	-2.515892402	0.102207786	-1	0.99051602	-0.99051602
CPN2	-2.801226657	0.003252524	-1	2.487779505	-2.487779505
ITM2B	-1.643260428	0.022899195	-1	1.640179781	-1.640179781
SCEL	-1.156497716	0.586352597	-1	0.231841147	-0.231841147
PGM1	-2.215161341	0.000235496	-1	3.628016363	-3.628016363
CMBL	1.07182226	0.434492535	1	0.362017681	0.362017681
ACLY	-2.32281625	9.69E-05	-1	4.013752306	-4.013752306
GBE1	-1.218849145	0.27249754	-1	0.564637413	-0.564637413
