GeneNames		rank
ANTXR2		1.245588253
CLTCL1		1.243375711
CRYBA2		1.240847254
NUBP1		1.237264314
SLC7A2		1.235005982
TKTL1		1.229041533
HCFC1		1.228611936
ATP1A2		1.225793925
CDK9		1.222514403
THBS3		1.221526688
SRP9		1.221423263
OR3A2		1.218325692
PLA2G4A		1.217748815
PROM1		1.212609039
PTGER3		1.212053805
CDKN2A		1.206696591
EIF1		1.20296314
PRPH		1.199244036
SRP14		1.197402271
ACTN2		1.195937909
PRKACA		1.190995487
HMGB2		1.187243338
MCC		1.186587445
S100A1		1.18155068
TCN1		1.17594685
PRKCB		1.170997681
ALPP		1.165168628
GAS8		1.162532967
CACNA1H		1.15900663
PHF14		1.159000561
LY6H		1.155305234
WISP2		1.154717139
DGAT1		1.152059512
ADAP1		1.151088092
TNFRSF21		1.150492373
PRDX5		1.145249511
PLA2G6		1.144839506
NRP2		1.141650353
CACNA1G		1.140986158
DDX3Y		1.139719953
IRF6		1.137238742
TCERG1		1.137149177
SDHD		1.136379007
CCDC188		1.134697865
PHF20L1		1.134179622
ELOVL7		1.12305303
IGLV1-36		1.121124077
SLC4A7		1.118688672
LAS1L		1.115472571
MED16		1.113731476
AKAP2		1.110750203
DNM3		1.10754313
ABCG2		1.106369267
CA14		1.100507273
CTNNA3		1.100293042
KDM5B		1.095411987
PISD		1.091567668
MARCH5		1.090494795
UQCC1		1.089463727
SLC35D1		1.086938345
HOMER2		1.082562418
MRPL17		1.082378754
PDGFC		1.078469961
PAK6		1.077771998
PLS3		1.073551643
MRPS30		1.071933225
GPN1		1.069547932
PARVB		1.06951052
TM6SF1		1.066549603
YTHDF1		1.063212592
TEX101		1.057543922
VKORC1		1.057199936
NCAPG		1.056118941
RMDN3		1.054829294
PCMTD1		1.05342194
PEX11G		1.048669457
TMEM159		1.048210035
KLK6		1.046975443
UBXN4		1.046069991
COG1		1.043829216
SNED1		1.043237468
CD300LF		1.042861199
RASGRP4		1.042365904
PLEKHO2		1.037599493
ACTL9		1.036752856
TTC8		1.031239313
SVIP		1.031158645
FAM160A2		1.018155771
CCDC146		1.017109064
RAVER1		1.015194832
IFT20		1.014810566
NELFCD		1.01384017
SUGP2		1.012197334
ZBTB8OS		1.011684718
RELL1		1.009393018
ARMC8		1.00862364
CBWD1		1.007468648
PDSS2		1.004667759
TRAPPC6B		0.998911529
MRPL10		0.99828943
MON1B		0.997055766
FAM205A		0.996458713
WDFY4		0.993708515
PPP2R2D		0.992209998
CD276		0.989191475
ANGEL2		0.988904766
TMCO4		0.988829968
ARMC4		0.9804918
LDLRAP1		0.979400385
COX20		0.978838319
BRDT		0.976553255
HIKESHI		0.973999328
TPRN		0.965778246
CCDC142		0.964854916
DGUOK		0.96284829
OCLN		0.959263654
SGCB		0.956482701
ADIRF		0.954696236
DAZAP2		0.954696236
PUM1		0.954696236
SMARCB1		0.954696236
TBL3		0.954696236
TP53BP1		0.954696236
TRIP12		0.954696236
BID		0.954669306
CAP2		0.954669306
CD164		0.954669306
CYP2C19		0.954669306
DYNLT3		0.954669306
ERH		0.954669306
HIST1H3A		0.954669306
MAT1A		0.954669306
NUDT6		0.954669306
PDE6C		0.954669306
PLEC		0.954669306
SUB1		0.954669306
ATP2B1		0.954669302
CD7		0.954669302
CDH3		0.954669302
CHGA		0.954669302
ENG		0.954669302
PGM1		0.954669302
C1QL1		0.954669286
CRYBA1		0.954669286
DENND3		0.954669286
DFFA		0.954669286
DLL1		0.954669286
DYRK3		0.954669286
FAM25G		0.954669286
FBLL1		0.954669286
HLA-DQA1		0.954669286
IGHV3-73		0.954669286
IGLV5-45		0.954669286
IPO8		0.954669286
KBTBD11		0.954669286
KIF21B		0.954669286
LILRA5		0.954669286
MAP3K4		0.954669286
MBP		0.954669286
MPZL1		0.954669286
NDUFA7		0.954669286
NDUFB1		0.954669286
PDE8B		0.954669286
PDLIM2		0.954669286
PRDM1		0.954669286
PRM2		0.954669286
PRPF4		0.954669286
PSMD9		0.954669286
SLC16A7		0.954669286
SLC35A4		0.954669286
TPM1		0.954669286
TRIM24		0.954669286
ARIH1		0.954669282
COA3		0.954669282
DIS3		0.954669282
EMILIN1		0.954669282
LIPG		0.954669282
MRPS18B		0.954669282
PCDHA3		0.954669282
SLC22A7		0.954669282
VWA7		0.954669282
CLEC4E		0.954669259
CYP8B1		0.954669259
DUSP12		0.954669259
PDCD6		0.954669259
UBQLN1		0.954669259
VSIG4		0.954669259
FETUB		0.954669255
RNF14		0.954669255
STX18		0.954669255
MRPL16		0.954669235
FAM105A		0.954669231
MRPL22		0.954669231
NMRK1		0.954669231
OXSM		0.954669231
ADAM33		0.95466922
AGPAT5		0.95466922
CADM1		0.95466922
CCDC90B		0.95466922
DHX36		0.95466922
GDPD2		0.95466922
KIFC3		0.95466922
LTBP3		0.95466922
NOL6		0.95466922
PIP5K1A		0.95466922
RTN4R		0.95466922
SCUBE2		0.95466922
SGK2		0.95466922
SLC12A5		0.95466922
SLC28A3		0.95466922
SPANXC		0.95466922
STARD5		0.95466922
ZPBP		0.95466922
AK8		0.9546692
IL4I1		0.9546692
MTMR9		0.9546692
NGLY1		0.9546692
PFDN5		0.9546692
PPP1R16A		0.9546692
SRPK1		0.9546692
THOC1		0.9546692
DYNLL2		0.954563345
SIPA1		0.954563345
ARRDC3		0.953493902
BPIFA2		0.953493902
SYAP1		0.953493902
TLCD1		0.953493902
UTP4		0.953493902
ZNF622		0.953493902
ACER1		0.952879788
CD200R1		0.952879788
CREB3L4		0.952879788
RNF141		0.952879788
RTN4IP1		0.952879788
GSDMB		0.952709385
MYO3A		0.952709385
OCC1		0.952709385
POC1B		0.952709385
SLC38A9		0.952574714
C12orf29		0.947672289
MRPL43		0.947067392
ATPAF2		0.945340171
ORMDL3		0.945340171
ZDHHC14		0.945340171
SAXO1		0.942751065
MICU2		0.942490932
CHERP		0.942279833
CPO		0.935956184
IQGAP3		0.933376892
SLC25A42		0.933376892
TRAPPC5		0.933376892
MTDH		0.932896627
RAB44		0.930772851
CPEB2		0.929323558
RAB11FIP2		0.92773158
EPM2AIP1		0.922102172
QSOX2		0.921170201
TMIGD1		0.921162261
ARMC6		0.921094941
FAM166A		0.921094941
FAM171A1		0.921094941
TNFAIP8L2		0.921094941
HYI		0.917668191
DDR2		0.912345834
MEST		0.912345834
TMEM67		0.912345834
MRPL23		0.911430765
MLF2		0.910017129
COG2		0.909423336
EBI3		0.908600527
BOP1		0.907632112
PMS2P11		0.904645316
BFSP2		0.899649653
PTK7		0.899530475
MRPL28		0.898842438
PTPN12		0.898705914
TLE4		0.898359929
RBM3		0.898034384
APOC2		0.897810422
CLDN14		0.897810422
CLDN17		0.897810422
CLNS1A		0.897810422
CRABP1		0.897810422
DNMT1		0.897810422
DYNLT1		0.897810422
ENO3		0.897810422
EPS15		0.897810422
FCER1G		0.897810422
GP9		0.897810422
HLA-F		0.897810422
IDO1		0.897810422
IGLV2-14		0.897810422
IMPDH1		0.897810422
LIG3		0.897810422
MYH11		0.897810422
PCYOX1		0.897810422
PPP2R1B		0.897810422
PTPRA		0.897810422
PTPRE		0.897810422
RFC5		0.897810422
S1PR4		0.897810422
SLC11A1		0.897810422
SNRPA1		0.897810422
TSPAN15		0.897810422
LUC7L3		0.893091209
MOCS3		0.893091209
SLCO2B1		0.893091209
PPM1B		0.891740761
ICOSLG		0.888943704
ADCY9		0.887405692
ATP10A		0.885791108
KIF1C		0.885791108
SSSCA1		0.885791108
POLR1C		0.879666787
PIP5K1B		0.876752726
CLGN		0.873096573
PHYH		0.871986407
UMAD1		0.869880523
ARMCX3		0.869451502
BAZ1B		0.869451502
BIN2		0.869451502
BTBD11		0.869451502
G3BP2		0.869451502
GNPTG		0.869451502
KCTD3		0.869451502
KIAA1107		0.869451502
MRPS28		0.869451502
MRPS7		0.869451502
MTFP1		0.869451502
MUC12		0.869451502
NME7		0.869451502
RBM8A		0.869451502
TRIM33		0.869451502
UNC119B		0.869451502
SAE1		0.869395979
STARD9		0.865804985
ORMDL1		0.862426116
SIDT1		0.862426097
COMMD8		0.862426075
CLN6		0.860552086
GAREM1		0.860311132
ADNP		0.85936193
RWDD1		0.85936193
FAM49A		0.85583261
CERS2		0.854898502
COG8		0.854898502
COQ7		0.854898502
CRBN		0.854898502
DNAI2		0.854898502
GRWD1		0.854898502
GUCD1		0.854898502
HGH1		0.854898502
PASK		0.854898502
VPS50		0.854898502
PHYHIPL		0.85427858
DAZAP1		0.854069806
SNRNP40		0.850790297
MSI2		0.849230943
FOXRED1		0.848620725
FBXL8		0.847659699
HIST1H2BA		0.84618107
PEX13		0.846175462
AKR7L		0.845881525
BBS5		0.845881525
C4orf33		0.845881525
C7orf31		0.845881525
CDS1		0.845881525
COMMD1		0.845881525
LILRA2		0.845881525
RTL9		0.845881525
SMRP1		0.845881525
STXBP6		0.845881525
BBS7		0.844574856
DNAJC10		0.844574856
SPNS2		0.841797671
THOC6		0.841262536
SETD3		0.8412625
NPHP3		0.840456988
ELP2		0.839669168
LAIR1		0.839669168
MBOAT1		0.839669168
RAPH1		0.839669168
RINT1		0.839669168
SLC30A9		0.839669168
STRADA		0.839669168
THSD4		0.839669168
CYB5R2		0.839520691
GPR107		0.839351786
FAM102A		0.837915252
MIA3		0.836631496
GLE1		0.836525154
CBX3		0.835085201
ODF1		0.835085201
PUDP		0.835085201
SF3A2		0.835085201
SLFN5		0.835085201
STARD3		0.835085201
SRSF1		0.834391524
ROR1		0.833291355
DEFB1		0.83153671
NAGK		0.83153671
NDRG2		0.83153671
PPP4C		0.83153671
MSH6		0.830666892
CLCN6		0.830527733
GLIPR1		0.830264569
CFHR2		0.82869105
MAGEA4		0.82869105
RFC3		0.82869105
THBS2		0.82869105
POLR2A		0.826996833
EIF4B		0.826346452
GP1BA		0.826346452
IGF1R		0.826346452
MYO5B		0.826346452
PI3		0.826346452
IGHV4-34		0.826345596
CHEK2		0.824373012
IGHV1-69		0.824373012
MYO1C		0.824373012
RECK		0.822850466
AGFG2		0.822683069
B3GAT3		0.822683069
FARS2		0.822683069
NDUFC2		0.822683069
RAB11FIP3		0.822683069
SPAG6		0.822683069
DHX16		0.822425027
AGPAT2		0.821215174
CASK		0.821215174
PIK3R2		0.821145483
KRT34		0.81875415
SPATA48		0.81775294
SBNO1		0.816952586
IGKV6-21		0.816826794
IGHV2-26		0.815985423
AUP1		0.815216594
IRAK3		0.813858723
RFNG		0.813858723
IER3IP1		0.813541666
PHLDA3		0.813189076
ATP6V0A2		0.812902189
NOC2L		0.812150488
PPIL1		0.812014278
MYO1B		0.810783134
PUF60		0.809619173
BCAP29		0.809270533
CAMSAP3		0.808622755
AKAP7		0.808032653
CDC42SE2		0.807259103
PICK1		0.806000431
SEMA4A		0.80449604
TBL1XR1		0.802566423
TPPP3		0.80129071
GNL3		0.800720976
WDR18		0.800684782
MYH14		0.799052253
TMEM70		0.796294983
TREX2		0.794532748
P2RY13		0.790418423
RBP7		0.789160038
RNF170		0.782772286
COG3		0.780288628
PGAM5		0.780288609
DOCK6		0.780288604
KIF1BP		0.780288596
SPACA9		0.780288583
NMD3		0.78028858
IRGQ		0.780288575
PRPF31		0.780288557
ACTRT2		0.780288536
BRIX1		0.78028852
PMFBP1		0.780288515
ANKRD44		0.780288512
KRTCAP2		0.780288502
GUF1		0.780288499
MMGT1		0.780288499
ADGRF5		0.780288486
RHOT2		0.780288481
ECHDC2		0.78028846
DDX42		0.778376822
COMMD7		0.775398986
HOOK3		0.774200524
TBC1D1		0.770216245
AMIGO2		0.767874119
ABI3BP		0.767630439
MAVS		0.766583559
LIPI		0.766358961
B3GNT9		0.763385225
DRAM2		0.762531752
TAPT1		0.762167436
MFSD5		0.760729899
NAPEPLD		0.760322151
MAP1S		0.757095213
ALS2CL		0.756919115
FOCAD		0.754971885
IQSEC2		0.752511424
TBC1D10B		0.751097142
MST1L		0.750021839
AOC3		0.746963837
SRSF7		0.744676681
BAK1		0.744297397
TAB1		0.743746047
PTPN14		0.743338836
PDK1		0.74232054
NAA25		0.742167021
IRF3		0.742104968
SRSF6		0.741295912
TFCP2		0.740070981
DMTN		0.739092811
UBE3A		0.737744622
SRSF2		0.735915852
PIP4K2B		0.735679819
UFM1		0.735318968
KRTDAP		0.730606634
CLDN8		0.730084663
CDH6		0.727712333
RAD23A		0.725944742
GPR143		0.725895683
MRE11		0.724691714
RGS19		0.723652044
CASP4		0.723613956
SERPINB10		0.722232543
RPL29		0.722114055
NOP2		0.719476596
CDKN2C		0.718003214
ACVR1B		0.715914493
SLC16A2		0.712276737
ADD2		0.710349985
SAA4		0.707539446
RFC2		0.70735459
SLC8A1		0.706544865
NDUFB7		0.70641741
MGMT		0.705041323
MPST		0.704305041
BRAF		0.703875617
CYP17A1		0.703761358
HBZ		0.703201574
IGLV3-25		0.7019191
IGLV1-40		0.697351496
TBCA		0.692795133
CTSV		0.691688146
TSPAN2		0.69116196
GSDME		0.690244701
HTRA2		0.688484361
LSM1		0.687200674
U2SURP		0.67944019
CTDSP2		0.678987486
KRT12		0.673947871
KRT27		0.670904639
KRT87P		0.670342462
IGKV1-8		0.670321011
IGLV3-9		0.670189009
ZNF780B		0.667628946
SLC30A1		0.666753196
TRAF6		0.6665253
THRAP3		0.666286221
MRPS17		0.66427874
MAGED2		0.65788658
CD207		0.65754733
PRSS50		0.656735452
CD300A		0.655483634
DNAJB4		0.654002193
KLK11		0.653896378
TMEM14C		0.653755137
CMTM6		0.653387598
TIMMDC1		0.651594404
ACOT13		0.645559456
PREB		0.642475424
CYP4F11		0.641404228
ZFYVE1		0.638007055
PPIL3		0.637132049
RSPH6A		0.634679361
API5		0.633233974
ASPSCR1		0.631780576
NLN		0.630435757
BAG1		0.629792386
COPS8		0.627784136
SLITRK1		0.62772694
MIA2		0.627603658
FBXO17		0.627203875
REPS1		0.626638374
CASP10		0.622671231
CCT6B		0.620034925
ZFAND2B		0.618135463
TRPM4		0.610583699
SFXN5		0.609714923
SPPL2B		0.608020115
LEMD2		0.607923076
MAT2B		0.607621647
NEGR1		0.607593895
TMTC3		0.607131485
ANKRD13D		0.605939786
UBR3		0.603766099
SPNS3		0.598562622
GPR179		0.597936594
LETMD1		0.597086836
PLA2G4F		0.594241418
LPCAT4		0.594074858
THEMIS2		0.593599649
YIF1B		0.592174273
TMEM41B		0.591431537
ESCO2		0.591282202
KLHL12		0.588553924
AP5B1		0.588553866
SMU1		0.588553839
TOMM34		0.587283226
PGM5		0.586292189
DPYSL3		0.584971544
FKBP5		0.584863602
FAM160A1		0.584822627
DNM1		0.583788281
TFF2		0.583494449
RPL36A		0.58125191
CRADD		0.581005156
ADAM8		0.580425596
SNRPD1		0.580177709
SNRPE		0.579898596
EPHB3		0.579373791
TNFSF10		0.577403034
MTIF2		0.577304419
CRYBB2		0.576541857
MAT2A		0.575727629
LRPAP1		0.575727344
PDHA2		0.57531332
GRN		0.573452425
PZP		0.572808555
TRIM21		0.571226741
PHKG2		0.568071764
SAA2		0.565164789
HBQ1		0.56487817
SMR3B		0.564226251
NUDT14		0.563467848
GABARAP		0.562863928
NEMF		0.562708731
PLXNC1		0.562085398
AQR		0.561803946
AP5Z1		0.560659642
PAPSS1		0.555359339
DEGS1		0.553969775
ANKRD28		0.552580472
BCKDK		0.552419249
PIR		0.549809421
IGF2BP3		0.548522946
KIF2A		0.544955426
MROH6		0.544606526
SEC23IP		0.543171606
MPC1		0.539884456
TRAPPC8		0.538836387
CNPY2		0.538523167
FAF1		0.536598119
SSR3		0.535525351
PADI4		0.533376267
WARS2		0.530829788
ABRACL		0.529338397
OGFR		0.528370478
SPHK2		0.528370478
NECTIN3		0.528370437
KCNJ16		0.527589516
NOX4		0.523374851
CARS2		0.521406562
NT5DC2		0.521335123
FAM83D		0.516298127
TLNRD1		0.516057132
LACRT		0.514471849
TAPBPL		0.514032001
MLST8		0.51325149
ARHGAP9		0.510168256
PRRC1		0.510005334
CCDC51		0.509448567
RMDN1		0.50932085
MOB3A		0.508002204
SGK3		0.507781602
RYR2		0.506714558
LPGAT1		0.506186885
CLEC4D		0.505994104
LRRN4		0.505012803
SPATA18		0.500893444
FAM71B		0.498360204
UBA3		0.498194156
ARFGAP1		0.497915827
PQLC1		0.497894362
DTX2		0.497811369
ABCA12		0.495313372
GALNT5		0.494790933
CLASP1		0.492968265
NUP54		0.491952513
PARS2		0.491181308
RUFY3		0.486002748
BTN2A1		0.48464044
TMPRSS11A		0.482452238
RAP1GAP2		0.482296315
ARFGEF3		0.482287768
FGD3		0.48154205
MMEL1		0.481383651
LGALSL		0.480995699
LEXM		0.48054023
IZUMO4		0.480208634
POSTN		0.47878665
NWD1		0.478006787
KLC1		0.47701687
LIPE		0.473358284
EXOSC10		0.471004991
GPLD1		0.470926844
SKP1		0.470114572
MAPK14		0.467801402
NCALD		0.466260819
PCBD1		0.464368149
RRP1		0.46071918
THOP1		0.45999897
ARSD		0.459730174
SCNN1G		0.459293176
CTSO		0.457655902
ADCY8		0.456160208
CDA		0.454797317
LYN		0.454170954
EPHA1		0.452611038
BTF3		0.450155913
NFKB1		0.449026847
CD36		0.449026821
ITGB4		0.449026814
PGAM2		0.449026805
PSKH1		0.449026798
SLPI		0.449026771
COL4A1		0.44902677
F13A1		0.449026762
RHOBTB3		0.449026753
B3GALNT1		0.449026751
NDUFS5		0.449026743
SULT1B1		0.449026743
SGCE		0.449026735
PPM1G		0.449026733
GNPAT		0.44902673
UBE2L6		0.449026708
HAT1		0.449026704
SLC30A4		0.448092355
PPEF1		0.445098929
ITGB1BP1		0.444151322
SIRPB1		0.443445042
KRT74		0.443346003
IGHV3-43		0.439198317
PUS1		0.438078671
ST14		0.437917037
LAMTOR2		0.436305418
PPP6R1		0.435872885
SLC12A4		0.43343506
KLK9		0.428148177
TEX10		0.428064452
MIOS		0.427233441
PDS5B		0.426659953
DDX21		0.42237715
IL1RAP		0.419366106
TUFT1		0.418067539
C1QTNF5		0.417790159
CALML4		0.415912651
MISP3		0.412888384
APH1A		0.411158333
CLUAP1		0.409933488
INPP5D		0.409803358
MRPS31		0.409591645
TRAPPC12		0.405219609
DTX3L		0.404618761
LNX1		0.397854937
GOLGA5		0.396802454
NPEPL1		0.396620162
GALNT6		0.394741782
PQLC3		0.393630586
GALNT16		0.393630514
GHDC		0.393354472
CFAP52		0.393258012
CCDC105		0.390851306
LMO7		0.3907027
ZDHHC21		0.387954741
OSTM1		0.387632887
NOP9		0.386460475
UBE3B		0.384613832
ATG9A		0.382466115
MRPL21		0.381837061
LARP1		0.378671711
MYORG		0.376215665
STYK1		0.372893864
ZFYVE26		0.372319681
FAM98B		0.369403184
EPHA7		0.368415765
MCM6		0.367628714
BYSL		0.367208864
PABPC4		0.365854251
STX5		0.365767539
ELF3		0.365541237
GMFB		0.365531214
SESN2		0.365515738
RAB38		0.365180317
HCCS		0.364595614
AGFG1		0.364100183
SCNN1B		0.364099466
RASSF2		0.363797275
ENTPD1		0.363177541
RANGAP1		0.362919918
PHKA2		0.362705457
PIK3CB		0.3619487
CD200		0.361917838
SLC26A3		0.360103261
PSMB9		0.356300177
LDHA		0.353451111
MAL		0.353168734
RASA1		0.353071249
EFNA1		0.352050836
POLR2E		0.351719293
CDH2		0.350570673
ABO		0.349375453
TIMP2		0.348528985
GP1BB		0.347831879
F5		0.346699874
ACR		0.345619292
MSMB		0.345265872
LDHC		0.34493852
APOA2		0.344346771
BCL10		0.343352317
STK16		0.343238455
ENTPD6		0.342716544
DENR		0.340962063
PLD2		0.340706057
RHOD		0.339825084
KRT83		0.339783294
KRT33B		0.338684372
